id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C00001,Fassi,Mehdi,mehdi.fassi1@mexora.ma,06/09/1987,Femme,Kénitra,0662698625,2024-05-25,Marketplace
C00002,Fassi,Amine,amine.fassi2@mexora.ma,Feb 18 1967,Femme,Al Hoceïma,0654730347,14-05-2025,Web
C00003,Rifi,Yassine,yassine.rifi3@mexora.ma,02/06/1975,1,Rabat,0628786239,27/05/2025,Web
C00004,El Amrani,Hajar,amine.fassi2@mexora.ma,07-12-1988,f,Casablanca,0632827531,01/25/2025,Social Ads
C00005,Alaoui,Mehdi,mehdi.alaoui5@mexora.ma,Mar 02 2002,0,Fès,0635601220,Oct 12 2024,Marketplace
C00006,Tahiri,Omar,omar.tahiri6@mexora.ma,11/06/1987,f,Tanger,,02/16/2025,Referral
C00007,Alaoui,Nadia,nadia.alaoui7@mexora.ma,17/06/1996,Female,Marrakech,0629223286,08-12-2024,Referral
C00008,Ziani,Karim,karim.ziani8@mexora.ma,07/22/2006,1,Tétouan,0635774919,06-02-2025,Mobile
C00009,El Amrani,Nadia,,Mar 11 1987,Homme,Casablanca,0658165429,Jul 30 2025,Social Ads
C00010,Rifi,Karim,karim.rifi10@mexora.ma,Apr 25 1994,Femme,Marrakech,0666068691,01/17/2025,Marketplace
C00011,Alaoui,Omar,omar.alaoui11@mexora.ma,Aug 26 1991,Homme,Marrakech,0627365390,2024-09-22,Web
C00012,Bennani,Salma,salma.bennani12@mexora.ma,1977-05-08,m,Tétouan,0639257530,25/05/2024,Social Ads
C00013,Alaoui,Imane,imane.alaoui13@mexora.ma,26-02-1982,Homme,Tanger,0696492290,10/14/2025,Mobile
C00014,Berrada,Sara,sara.berrada14@mexora.ma,18-01-1973,Female,tanger,0679676487,Dec 02 2024,Social Ads
C00015,Tazi,Yassine,yassine.tazi15@mexora.ma,05/18/1968,f,Agadir,0665020456,Mar 02 2026,Mobile
C00016,Tazi,Amine,amine.tazi16@mexora.ma,07/19/1980,f,Rabat,0642064324,24-03-2026,Social Ads
C00017,Tahiri,Yassine,yassine.tazi15mexora.ma,10-03-1960,,,0663136697,Aug 14 2024,Marketplace
C00018,Ziani,Nadia,nadia.ziani18@mexora.ma,05/01/2003,Femme,TETOUAN,0623289786,Mar 16 2024,Social Ads
C00019,Mansouri,Mehdi,mehdi.mansouri19@mexora.ma,08/12/2002,Homme,Al Hoceïma,0638768204,02/05/2024,Referral
C00020,Fassi,Hajar,hajar.fassi20@mexora.ma,Sep 25 1981,Homme,Casablanca,0623866998,Mar 08 2024,Social Ads
C00021,Bennani,Mehdi,mehdi.bennani21@mexora.ma,10/16/1978,Femme,Tanger,0676761470,08/15/2024,Marketplace
C00022,El Amrani,Nadia,mehdi.alaoui5@mexora.ma,20/10/1979,m,Marrakech,0612402395,07/24/2024,Marketplace
C00023,Alaoui,Nadia,nadia.alaoui23mexora.ma,26-03-1964,1,Casablanca,0617044268,06/16/2025,Social Ads
C00024,Fassi,Mehdi,nadia.alaoui23mexora.ma,12/24/1993,0,tanger,0689329730,02/24/2026,Social Ads
C00025,Tahiri,Sara,sara.tahiri25@mexora.ma,04/10/2002,1,Al Hoceïma,0693070547,May 21 2025,Web
C00026,Ziani,Omar,omar.ziani26@mexora.ma,Feb 21 1997,f,rabat,0666615441,2025-05-16,Social Ads
C00027,Ziani,Yassine,yassine.ziani27@mexora.ma,01/12/1998,1,Meknès,0624229083,2024-09-14,Social Ads
C00028,Mansouri,Omar,omar.mansouri28@mexora.ma,Sep 14 1983,0,Casablanca,0610439092,Mar 23 2026,Marketplace
C00029,Bennani,Karim,karim.bennani29@mexora.ma,10/06/1962,f,Fès,0628967002,07/15/2025,Referral
C00030,Fassi,Amine,amine.fassi30@mexora.ma,21/06/1997,f,Casablanca,0631522316,2025-01-02,Mobile
C00031,Tazi,Sara,sara.tazi31@mexora.ma,2006-11-25,Femme,Casablanca,0638519561,10/23/2024,Mobile
C00032,Rifi,Yassine,yassine.rifi32@mexora.ma,Jun 20 1977,Femme,Fès,0613554715,Oct 30 2025,Web
C00033,Alaoui,Nadia,nadia.alaoui33@mexora.ma,01/04/2003,Female,rabat,0611697872,28/07/2025,Mobile
C00034,Mansouri,Imane,imane.mansouri34@mexora.ma,Dec 14 2002,m,Marrakech,0668025116,01/06/2024,Web
C00035,Tahiri,Hajar,hajar.tahiri35@mexora.ma,03/26/1967,f,Tanger,0641230834,2025-09-14,Referral
C00036,Mansouri,Mehdi,mehdi.mansouri36@mexora.ma,Apr 12 2003,1,Oujda,0652344904,Nov 05 2025,Referral
C00037,Tahiri,Yassine,yassine.tahiri37@mexora.ma,Oct 10 1961,,rabat,0686904147,17-12-2024,Social Ads
C00038,Bennani,Amine,amine.bennani38@mexora.ma,14-10-1975,m,casa,0666568218,02/04/2025,Web
C00039,Tazi,Salma,salma.tazi39@mexora.ma,17-08-1987,Femme,Tanger,0620467563,2024-02-15,Social Ads
C00040,Rifi,Imane,imane.rifi40@mexora.ma,07/20/1981,Homme,Tanger,0623809702,Sep 21 2025,Mobile
C00041,Bennani,Nadia,nadia.bennani41@mexora.ma,13/01/1963,0,Tétouan,0620726493,Jan 22 2024,Marketplace
C00042,Berrada,Imane,imane.berrada42@mexora.ma,Feb 01 1969,0,Oujda,0678320776,2025-06-11,Marketplace
C00043,El Amrani,Nadia,nadia.elamrani43@mexora.ma,02-09-1990,0,Casablanca,0666241008,12-01-2024,Mobile
C00044,Tazi,Salma,salma.tazi44@mexora.ma,17-08-1968,Femme,Casablanca,0627504420,Sep 12 2024,Marketplace
C00045,Fassi,Hajar,hajar.fassi45@mexora.ma,06/20/1980,Homme,Agadir,0623658913,06-08-2024,Web
C00046,Alaoui,Mehdi,mehdi.fassi1@mexora.ma,18-08-1978,m,Agadir,0630071455,2025-11-06,Referral
C00047,Alaoui,Omar,omar.alaoui47@mexora.ma,04/17/1997,m,Oujda,0621369828,14/10/2024,Web
C00048,Bennani,Mehdi,mehdi.bennani48@mexora.ma,25-10-1991,m,RABAT,0640624602,01-04-2025,Web
C00049,El Amrani,Salma,salma.elamrani49@mexora.ma,16/06/1985,Homme,Tétouan,0611563004,16-09-2024,Social Ads
C00050,El Amrani,Sara,sara.elamrani50@mexora.ma,25/06/1971,Homme,Agadir,0679474009,15/02/2026,Referral
C00051,Tahiri,Yassine,yassine.tahiri51@mexora.ma,Jan 12 1979,Homme,Rabat,0633274764,2025-01-19,Referral
C00052,Tahiri,Yassine,yassine.tahiri52@mexora.ma,13-04-1993,1,Rabat,0611049495,01-03-2026,Mobile
C00053,Ziani,Salma,salma.ziani53@mexora.ma,23/07/2002,1,Marrakech,0631838618,Oct 01 2024,Mobile
C00054,Alaoui,Salma,salma.alaoui54@mexora.ma,06/12/1961,1,Tanger,0682059742,20-02-2026,Web
C00055,Bennani,Mehdi,mehdi.bennani55@mexora.ma,12/13/1975,Homme,Fès,0655793620,18/10/2025,Marketplace
C00056,Mansouri,Yassine,salma.elamrani49@mexora.ma,21-02-1968,1,Fès,0663807123,Apr 29 2026,Marketplace
C00057,Fassi,Nadia,nadia.fassi57@mexora.ma,12/07/2004,f,Oujda,0625064503,04/03/2025,Social Ads
C00058,Mansouri,Amine,amine.mansouri58@mexora.ma,1976-04-11,Homme,Casablanca,0638972034,19/03/2025,Web
C00059,Ziani,Imane,imane.ziani59@mexora.ma,1972-05-12,1,Marrakech,0619995816,10/03/2025,Marketplace
C00060,Berrada,Omar,omar.berrada60@mexora.ma,2005-01-13,0,Tetouan,0617535500,30/11/2024,Mobile
C00061,Bennani,Omar,omar.bennani61@mexora.ma,26/02/1984,0,Rabat,0697071984,31/05/2024,Referral
C00062,Mansouri,Sara,sara.mansouri62@mexora.ma,18-07-1980,Homme,TETOUAN,0649058784,02/11/2024,Referral
C00063,Tazi,Salma,salma.tazi63@mexora.ma,17-11-2003,1,Marrakech,0639777182,01/09/2025,Social Ads
C00064,Ziani,Sara,sara.ziani64@mexora.ma,03-01-1982,Femme,Oujda,0628551507,2025-08-09,Marketplace
C00065,Bennani,Yassine,yassine.bennani65@mexora.ma,28-05-1995,Femme,Tanger,0666062159,2024-03-16,Marketplace
